year,serial,hwtsupp,region,statefip,county,ownershp,phone,month,pernum,wtsupp,famsize,nchild,nchlt5,eldch,age,sex,race,marst,educ,empstat,labforce,occ,ind,wkswork1,hrswork,incwage,poverty,vetstat,health,migsta1,whymove,migrate1
2012,51284,2208.75,South Atlantic Division,North Carolina,37133,Owned or being bought,"Yes, phone in household",March,1,2208.75,5 family members present,3,No children under age 5,19,59,Male,Black/Negro,"Married, spouse present",Doctorate degree,At work,"Yes, in the labor force",2100,9470,52 weeks,44 hours,111800,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,11408,3229.72,Middle Atlantic Division,New York,0,Owned or being bought,"Yes, phone in household",March,1,3229.72,2 family members present,0 children present,No children under age 5,NIU,65,Male,White,"Married, spouse present",Master's degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Good,Same house,NIU,Same house
2012,50020,1984.97,South Atlantic Division,North Carolina,0,With cash rent,"Yes, phone in household",March,2,1842.03,2 family members present,0 children present,No children under age 5,NIU,13,Male,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,49099,698.60999,South Atlantic Division,West Virginia,0,Owned or being bought,"Yes, phone in household",March,3,512.12,3 family members present,0 children present,No children under age 5,NIU,15,Male,White,Never married/single,Grade 9,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,26612,1490.95,East North Central Division,Michigan,26161,Owned or being bought,"Yes, phone in household",March,2,1490.95,3 family members present,1 child present,No children under age 5,15,43,Female,White,"Married, spouse present",Bachelor's degree,At work,"Yes, in the labor force",420,8370,52 weeks,27 hours,78000,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,53533,3047.8201,South Atlantic Division,Georgia,0,Owned or being bought,"Yes, phone in household",March,2,3159.75,2 family members present,0 children present,No children under age 5,NIU,33,Male,White,Never married/single,High school diploma or equivalent,At work,"Yes, in the labor force",1540,3190,52 weeks,40 hours,40000,150 percent and above the low-income level,No service,Good,Georgia,For cheaper housing,Moved within county
2012,63918,1749.58,East South Central Division,Mississippi,0,Owned or being bought,"Yes, phone in household",March,2,1749.58,5 family members present,3,1 child under age 5,12,35,Male,White,"Married, spouse present",High school diploma or equivalent,At work,"Yes, in the labor force",6260,770,26 weeks,35 hours,5000,Below poverty,No service,Excellent,Same house,NIU,Same house
2012,53447,1595.35,South Atlantic Division,Georgia,0,With cash rent,"Yes, phone in household",March,3,1406.97,3 family members present,0 children present,No children under age 5,NIU,2,Female,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Georgia,Wanted new or better housing,"Moved within state, different county"
2012,10359,406.47,New England Division,Connecticut,0,With cash rent,"Yes, phone in household",March,2,406.47,4 family members present,2,No children under age 5,12,34,Male,White,"Married, spouse present",Bachelor's degree,At work,"Yes, in the labor force",2040,9160,52 weeks,40 hours,22000,125-149 percent of the low-income level,No service,Excellent,Same house,NIU,Same house
2012,5619,1574.4,New England Division,Massachusetts,0,Owned or being bought,"Yes, phone in household",March,4,1824.5601,4 family members present,0 children present,No children under age 5,NIU,5,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,51405,1914.27,South Atlantic Division,North Carolina,37183,Owned or being bought,"Yes, phone in household",March,2,1914.27,4 family members present,2,No children under age 5,12,45,Female,White,"Married, spouse present",Bachelor's degree,At work,"Yes, in the labor force",4920,7070,52 weeks,40 hours,30000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,84854,1802.83,Pacific Division,Oregon,41039,Owned or being bought,"Yes, phone in household",March,2,2761.1201,2 family members present,0 children present,No children under age 5,NIU,22,Male,White,Never married/single,High school diploma or equivalent,"NILF, unable to work","No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,26314,1293.3199,East North Central Division,Michigan,0,Owned or being bought,"Yes, phone in household",March,5,1266.73,7 family members present,2,2,4,26,Male,White,"Married, spouse present",High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,100-124 percent of the low-income level,No service,Very good,Same house,NIU,Same house
2012,91787,1991.9,Pacific Division,California,6001,With cash rent,"Yes, phone in household",March,5,1585.4,6 family members present,2,No children under age 5,27,48,Female,White,"Married, spouse present",Some college but no degree,At work,"Yes, in the labor force",310,8680,52 weeks,50 hours,20000,150 percent and above the low-income level,No service,Excellent,California,New job or job transfer,Moved within county
2012,54095,1407.5699,South Atlantic Division,Georgia,0,With cash rent,"Yes, phone in household",March,4,1554.48,4 family members present,0 children present,No children under age 5,NIU,5,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Good,Same house,NIU,Same house
2012,81917,1200.96,Mountain Division,Nevada,32003,Owned or being bought,"Yes, phone in household",March,2,1200.96,1 family member present,0 children present,No children under age 5,NIU,30,Female,White,Never married/single,Master's degree,At work,"Yes, in the labor force",350,8190,52 weeks,50 hours,50000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,17786,3016.1101,Middle Atlantic Division,Pennsylvania,42017,Owned or being bought,"Yes, phone in household",March,5,2740.2,5 family members present,0 children present,No children under age 5,NIU,12,Female,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Excellent,Same house,NIU,Same house
2012,92848,1790.86,Pacific Division,California,0,Owned or being bought,"Yes, phone in household",March,3,1902.48,4 family members present,1 child present,1 child under age 5,2,47,Female,White,Never married/single,Bachelor's degree,At work,"Yes, in the labor force",2340,7890,46 weeks,25 hours,0,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,82745,687.78998,Mountain Division,Nevada,0,Owned or being bought,"Yes, phone in household",March,3,762.15997,4 family members present,2,No children under age 5,29,45,Male,White,"Married, spouse present",Professional school degree,At work,"Yes, in the labor force",2200,7870,52 weeks,40 hours,50000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,62122,2492.98,East South Central Division,Alabama,0,With cash rent,"Yes, phone in household",March,2,2492.98,2 family members present,0 children present,No children under age 5,NIU,52,Female,White,"Married, spouse present",Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,Below poverty,No service,Good,Same house,NIU,Same house
2012,50393,3487.5801,South Atlantic Division,North Carolina,0,With cash rent,"Yes, phone in household",March,1,3487.5801,2 family members present,1 child present,No children under age 5,13,46,Male,White,Divorced,Some college but no degree,At work,"Yes, in the labor force",4700,4890,52 weeks,40 hours,65000,150 percent and above the low-income level,No service,Good,North Carolina,For easier commute,Moved within county
2012,47306,2504.1499,South Atlantic Division,Virginia,51087,With cash rent,"Yes, phone in household",March,1,2504.1499,2 family members present,1 child present,No children under age 5,8,44,Female,Black/Negro,Never married/single,Some college but no degree,At work,"Yes, in the labor force",2160,6990,52 weeks,10 hours,12000,100-124 percent of the low-income level,No service,Fair,Same house,NIU,Same house
2012,21358,1905.3,East North Central Division,Ohio,39049,With cash rent,"Yes, phone in household",March,3,1198.1899,7 family members present,0 children present,No children under age 5,NIU,6,Male,Black/Negro,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Excellent,Same house,NIU,Same house
2012,89625,1360.78,Pacific Division,California,6111,Owned or being bought,"Yes, phone in household",March,2,1360.78,2 family members present,0 children present,No children under age 5,NIU,80,Female,White,"Married, spouse present",Grades 5 or 6,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,Below poverty,No service,Poor,Same house,NIU,Same house
2012,22869,3051.2,East North Central Division,Indiana,18081,Owned or being bought,"Yes, phone in household",March,2,3051.2,2 family members present,0 children present,No children under age 5,NIU,68,Male,White,"Married, spouse present",High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,66670,2989.1001,West South Central Division,Oklahoma,0,No cash rent,"Yes, phone in household",March,1,2989.1001,1 family member present,0 children present,No children under age 5,NIU,21,Male,White,Never married/single,Some college but no degree,Not in labor force,"No, not in the labor force",0,0,8 weeks,NIU,4000,150 percent and above the low-income level,No service,Excellent,Texas,Other housing reason,Moved between states
2012,63373,875.39001,East South Central Division,Mississippi,0,Owned or being bought,"Yes, phone in household",March,1,875.39001,1 family member present,0 children present,No children under age 5,NIU,69,Female,Black/Negro,Widowed,Bachelor's degree,"Has job, not at work last week","Yes, in the labor force",2310,7860,52 weeks,NIU,16500,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,73079,633.53003,Mountain Division,Montana,0,Owned or being bought,"Yes, phone in household",March,1,633.53003,1 family member present,0 children present,No children under age 5,NIU,70,Female,White,Widowed,Bachelor's degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,10256,784.59998,New England Division,Connecticut,0,Owned or being bought,"Yes, phone in household",March,3,549.09998,5 family members present,0 children present,No children under age 5,NIU,15,Male,White,Never married/single,Grades 7 or 8,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,Below poverty,NIU,Excellent,Same house,NIU,Same house
2012,23704,3378.78,East North Central Division,Illinois,0,No cash rent,"Yes, phone in household",March,1,3378.78,2 family members present,0 children present,No children under age 5,NIU,61,Male,White,"Married, spouse present",Master's degree,At work,"Yes, in the labor force",2040,9160,52 weeks,71 hours,35300,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,8161,232.39999,New England Division,Rhode Island,0,Owned or being bought,"No, no phone available",March,5,267.45999,5 family members present,0 children present,No children under age 5,NIU,Under 1 year,Female,White-Black,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,NIU,NIU,NIU
2012,50883,1771.62,South Atlantic Division,North Carolina,0,With cash rent,"Yes, phone in household",March,2,1834.41,3 family members present,0 children present,No children under age 5,NIU,18,Male,White,Never married/single,Grade 11,At work,"Yes, in the labor force",4620,8570,45 weeks,15 hours,6300,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,66496,1138.01,West South Central Division,Oklahoma,0,Owned or being bought,"Yes, phone in household",March,2,1138.01,2 family members present,0 children present,No children under age 5,NIU,63,Male,White-American Indian,"Married, spouse present",Some college but no degree,At work,"Yes, in the labor force",9130,6170,52 weeks,40 hours,35000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,15472,1529.42,Middle Atlantic Division,New Jersey,0,Owned or being bought,"Yes, phone in household",March,2,1529.42,6 family members present,3,No children under age 5,18,49,Male,Asian only,"Married, spouse present",Bachelor's degree,"Has job, not at work last week","Yes, in the labor force",20,8680,52 weeks,NIU,167960,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,21036,1925.3,East North Central Division,Ohio,0,Owned or being bought,"Yes, phone in household",March,3,1838.8,3 family members present,0 children present,No children under age 5,NIU,13,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,75153,168.82001,Mountain Division,Wyoming,0,Owned or being bought,"Yes, phone in household",March,2,182.67999,2 family members present,0 children present,No children under age 5,NIU,7,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,36732,219.03,West North Central Division,South Dakota,0,With cash rent,"Yes, phone in household",March,3,225.23,4 family members present,0 children present,No children under age 5,NIU,12,Female,American Indian/Aleut/Eskimo,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Very good,Same house,NIU,Same house
2012,38247,596.69,West North Central Division,Nebraska,0,With cash rent,"Yes, phone in household",March,4,522.01001,4 family members present,0 children present,No children under age 5,NIU,4,Female,American Indian/Aleut/Eskimo,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,100-124 percent of the low-income level,NIU,Good,Same house,NIU,Same house
2012,23349,4033.6899,East North Central Division,Illinois,0,With cash rent,"Yes, phone in household",March,1,4033.6899,1 family member present,0 children present,No children under age 5,NIU,22,Male,White,Never married/single,High school diploma or equivalent,At work,"Yes, in the labor force",8140,170,52 weeks,50 hours,40000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,54875,1753.12,South Atlantic Division,Georgia,0,Owned or being bought,"Yes, phone in household",March,2,1753.12,2 family members present,0 children present,No children under age 5,NIU,57,Male,Black/Negro,"Married, spouse present",Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Poor,Same house,NIU,Same house
2012,24663,1248.48,East North Central Division,Illinois,0,Owned or being bought,"Yes, phone in household",March,4,1575.58,5 family members present,0 children present,No children under age 5,NIU,13,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,73239,406.20001,Mountain Division,Montana,0,With cash rent,"Yes, phone in household",March,5,376.45999,5 family members present,0 children present,No children under age 5,NIU,5,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,Below poverty,NIU,Excellent,Same house,NIU,Same house
2012,91743,1614.03,Pacific Division,California,6073,With cash rent,"Yes, phone in household",March,4,1611.21,5 family members present,0 children present,No children under age 5,NIU,12,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,125-149 percent of the low-income level,NIU,Very good,Same house,NIU,Same house
2012,52894,2836.8301,South Atlantic Division,South Carolina,45051,Owned or being bought,"Yes, phone in household",March,1,2836.8301,1 family member present,0 children present,No children under age 5,NIU,64,Female,White,Widowed,High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Fair,Same house,NIU,Same house
2012,59763,2221.8501,East South Central Division,Kentucky,0,Owned or being bought,"Yes, phone in household",March,1,2221.8501,2 family members present,0 children present,No children under age 5,NIU,61,Male,White,"Married, spouse present","Associate's degree, academic program",At work,"Yes, in the labor force",4760,4780,52 weeks,40 hours,38000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,33592,467.67001,West North Central Division,Iowa,19153,Owned or being bought,"Yes, phone in household",March,1,467.67001,4 family members present,2,1 child under age 5,21,32,Male,White,"Married, spouse present",Grade 9,At work,"Yes, in the labor force",6515,770,49 weeks,48 hours,47000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,82579,851.51001,Mountain Division,Nevada,32003,No cash rent,"Yes, phone in household",March,5,550.06,3 family members present,0 children present,No children under age 5,NIU,8,Female,White-Asian-Hawaiian/Pacific Islander,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,19170,2036.33,Middle Atlantic Division,Pennsylvania,42129,Owned or being bought,"Yes, phone in household",March,3,2104.5901,4 family members present,0 children present,No children under age 5,NIU,10,Female,White-Asian,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,47529,1300.26,South Atlantic Division,Virginia,51760,With cash rent,"No, no phone available",March,1,1300.26,1 family member present,0 children present,No children under age 5,NIU,85,Female,Black/Negro,Widowed,Grades 7 or 8,"NILF, unable to work","No, not in the labor force",0,0,NIU,NIU,0,100-124 percent of the low-income level,No service,Fair,Virginia,Other family reason,Moved within county
2012,39476,359.03,West North Central Division,Nebraska,31153,Owned or being bought,"Yes, phone in household",March,4,413.66,5 family members present,1 child present,1 child under age 5,3,19,Female,White,Never married/single,High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,100-124 percent of the low-income level,No service,Very good,Same house,NIU,Same house
2012,84665,1070.26,Pacific Division,Oregon,0,With cash rent,"Yes, phone in household",March,3,1329.4,4 family members present,0 children present,No children under age 5,NIU,21,Male,White,Never married/single,High school diploma or equivalent,At work,"Yes, in the labor force",4760,4870,52 weeks,40 hours,15600,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,3109,492.67999,New England Division,New Hampshire,0,Owned or being bought,"Yes, phone in household",March,2,492.67999,2 family members present,0 children present,No children under age 5,NIU,66,Female,White,"Married, spouse present",Grade 10,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Poor,Same house,NIU,Same house
2012,88575,1553.34,Pacific Division,California,6059,Owned or being bought,"Yes, phone in household",March,3,1791.08,4 family members present,0 children present,No children under age 5,NIU,15,Female,White,Never married/single,Grade 9,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,70927,2087.95,West South Central Division,Texas,0,Owned or being bought,"Yes, phone in household",March,4,2327.1399,4 family members present,0 children present,No children under age 5,NIU,7,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Good,Same house,NIU,Same house
2012,41318,176.00999,South Atlantic Division,Delaware,10005,Owned or being bought,"Yes, phone in household",March,3,175.2,4 family members present,0 children present,No children under age 5,NIU,13,Male,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,100-124 percent of the low-income level,NIU,Very good,Same house,NIU,Same house
2012,40213,1274.11,West North Central Division,Kansas,0,Owned or being bought,"Yes, phone in household",March,1,1274.11,1 family member present,0 children present,No children under age 5,NIU,31,Male,White,Never married/single,Bachelor's degree,At work,"Yes, in the labor force",50,2190,52 weeks,50 hours,45000,150 percent and above the low-income level,No service,Fair,Same house,NIU,Same house
2012,88797,1556.9399,Pacific Division,California,6059,With cash rent,"Yes, phone in household",March,2,1556.9399,3 family members present,1 child present,No children under age 5,11,48,Male,White,"Married, spouse present",Bachelor's degree,"Unemployed, experienced worker","Yes, in the labor force",2710,6670,35 weeks,NIU,40000,150 percent and above the low-income level,No service,Fair,Same house,NIU,Same house
2012,38512,391.26001,West North Central Division,Nebraska,0,Owned or being bought,"Yes, phone in household",March,1,391.26001,4 family members present,2,No children under age 5,15,67,Male,White,"Married, spouse present",Some college but no degree,At work,"Yes, in the labor force",4220,7070,52 weeks,30 hours,0,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,85339,1063.8199,Pacific Division,Oregon,0,Owned or being bought,"Yes, phone in household",March,4,836.01001,4 family members present,0 children present,No children under age 5,NIU,61,Male,White,Widowed,Master's degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Fair,Same house,NIU,Same house
2012,59638,2293.71,East South Central Division,Kentucky,0,Owned or being bought,"Yes, phone in household",March,1,2293.71,1 family member present,0 children present,No children under age 5,NIU,66,Male,White,Widowed,High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,100-124 percent of the low-income level,No service,Fair,Same house,NIU,Same house
2012,83843,1450,Pacific Division,Washington,53033,Owned or being bought,"Yes, phone in household",March,1,1450,2 family members present,0 children present,No children under age 5,NIU,60,Male,White,"Married, spouse present",Bachelor's degree,"Has job, not at work last week","Yes, in the labor force",8140,3190,31 weeks,NIU,18000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,9995,596.33002,New England Division,Connecticut,0,Owned or being bought,"Yes, phone in household",March,3,764.03998,6 family members present,0 children present,No children under age 5,NIU,11,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Excellent,Same house,NIU,Same house
2012,31014,761.41998,West North Central Division,Minnesota,27003,With cash rent,"Yes, phone in household",March,1,761.41998,3 family members present,2,1 child under age 5,7,34,Female,White,Divorced,Bachelor's degree,At work,"Yes, in the labor force",735,7870,52 weeks,36 hours,34000,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,85374,1131.24,Pacific Division,Oregon,0,With cash rent,"Yes, phone in household",March,3,1131.24,1 family member present,0 children present,No children under age 5,NIU,28,Female,White,Never married/single,Some college but no degree,At work,"Yes, in the labor force",4030,7870,52 weeks,10 hours,22500,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,11927,2110.6201,Middle Atlantic Division,New York,36047,Owned or being bought,"Yes, phone in household",March,1,2110.6201,5 family members present,0 children present,No children under age 5,NIU,20,Male,Black/Negro,Never married/single,Some college but no degree,At work,"Yes, in the labor force",4220,8680,52 weeks,30 hours,50000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,42890,885.29999,South Atlantic Division,Maryland,24003,With cash rent,"Yes, phone in household",March,2,885.29999,6 family members present,3,No children under age 5,16,35,Female,White,"Married, spouse present",Grades 7 or 8,"Unemployed, experienced worker","Yes, in the labor force",1060,4970,31 weeks,NIU,33000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,18293,1712.55,Middle Atlantic Division,Pennsylvania,42101,Owned or being bought,"Yes, phone in household",March,4,1712.55,1 family member present,0 children present,No children under age 5,NIU,26,Male,White,Never married/single,Grade 10,At work,"Yes, in the labor force",3930,7680,35 weeks,16 hours,22000,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,76495,890.14001,Mountain Division,Colorado,0,Owned or being bought,"Yes, phone in household",March,1,890.14001,1 family member present,0 children present,No children under age 5,NIU,25,Male,Asian only,Never married/single,"Associate's degree, academic program",At work,"Yes, in the labor force",4020,8680,52 weeks,20 hours,30000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,74045,465.38,Mountain Division,Idaho,0,Owned or being bought,"Yes, phone in household",March,5,632.40997,6 family members present,1 child present,No children under age 5,9,30,Female,White,"Married, spouse present",High school diploma or equivalent,At work,"Yes, in the labor force",5800,5090,52 weeks,1 hour,26000,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,39202,766.78998,West North Central Division,Nebraska,0,Owned or being bought,"Yes, phone in household",March,1,766.78998,2 family members present,0 children present,No children under age 5,NIU,76,Male,White,"Married, spouse present",High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Good,Same house,NIU,Same house
2012,13548,2255.6599,Middle Atlantic Division,New York,36081,Owned or being bought,"Yes, phone in household",March,2,2255.6599,4 family members present,2,No children under age 5,21,53,Male,White,"Married, spouse present",High school diploma or equivalent,"NILF, unable to work","No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,Yes,Good,Same house,NIU,Same house
2012,81051,963.81,Mountain Division,Utah,0,With cash rent,"Yes, phone in household",March,2,963.81,4 family members present,2,2,3,24,Female,White,"Married, spouse present",Bachelor's degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Very good,Texas,Other family reason,Moved between states
2012,41670,330.44,South Atlantic Division,Delaware,10003,Owned or being bought,"Yes, phone in household",March,2,330.44,2 family members present,0 children present,No children under age 5,NIU,59,Female,White,"Married, spouse present",Master's degree,At work,"Yes, in the labor force",2330,8470,52 weeks,40 hours,85000,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,6033,2770.21,New England Division,Massachusetts,0,Owned or being bought,"Yes, phone in household",March,1,2770.21,3 family members present,1 child present,No children under age 5,34,63,Male,White,"Married, spouse present",Bachelor's degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,77025,717.29999,Mountain Division,Colorado,0,With cash rent,"Yes, phone in household",March,3,955.04999,5 family members present,0 children present,No children under age 5,NIU,20,Male,White,Never married/single,Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Poor,Same house,NIU,Same house
2012,13185,1774.52,Middle Atlantic Division,New York,36081,Owned or being bought,"Yes, phone in household",March,2,1774.52,4 family members present,2,No children under age 5,14,34,Female,Asian only,"Married, spouse present",Grades 7 or 8,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Excellent,Same house,NIU,Same house
2012,89066,1560.98,Pacific Division,California,6059,With cash rent,"Yes, phone in household",March,5,1300.91,5 family members present,0 children present,No children under age 5,NIU,30,Male,White,"Married, spouse present",High school diploma or equivalent,At work,"Yes, in the labor force",6260,770,52 weeks,40 hours,25000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
2012,58587,3798.29,South Atlantic Division,Florida,0,Owned or being bought,"Yes, phone in household",March,2,3798.29,2 family members present,0 children present,No children under age 5,NIU,69,Female,White,"Married, spouse present",Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Maine,Retired,Moved between states
2012,84649,1150.02,Pacific Division,Oregon,0,Owned or being bought,"Yes, phone in household",March,5,1501.3,5 family members present,0 children present,No children under age 5,NIU,7,Female,White,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,23793,1526.3199,East North Central Division,Illinois,0,With cash rent,"Yes, phone in household",March,1,1526.3199,2 family members present,1 child present,No children under age 5,21,75,Male,Black/Negro,Never married/single,Grades 7 or 8,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Fair,Same house,NIU,Same house
2012,30998,1778.22,West North Central Division,Minnesota,27003,Owned or being bought,"Yes, phone in household",March,2,1778.22,2 family members present,0 children present,No children under age 5,NIU,64,Male,White,"Married, spouse present",Bachelor's degree,At work,"Yes, in the labor force",1107,2290,52 weeks,40 hours,40000,150 percent and above the low-income level,No service,Fair,Same house,NIU,Same house
2012,27579,1683.23,East North Central Division,Michigan,26163,Owned or being bought,"Yes, phone in household",March,2,1683.23,4 family members present,2,1 child under age 5,5,26,Female,White,"Married, spouse present",Some college but no degree,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Good,Same house,NIU,Same house
2012,3669,241.71001,New England Division,New Hampshire,0,Owned or being bought,"Yes, phone in household",March,4,280.62,4 family members present,0 children present,No children under age 5,NIU,9,Female,White-American Indian,Never married/single,NIU,NIU,NIU,0,0,NIU,NIU,9999999,150 percent and above the low-income level,NIU,Very good,Same house,NIU,Same house
2012,44182,720.91998,South Atlantic Division,Maryland,0,With cash rent,"Yes, phone in household",March,1,720.91998,7 family members present,5,1 child under age 5,16,41,Female,White,"Married, spouse present",High school diploma or equivalent,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,100-124 percent of the low-income level,No service,Good,Same house,NIU,Same house
2012,63660,877.60999,East South Central Division,Mississippi,0,With cash rent,"Yes, phone in household",March,1,877.60999,4 family members present,1 child present,No children under age 5,65,80,Female,Black/Negro,Widowed,Grades 5 or 6,Not in labor force,"No, not in the labor force",0,0,NIU,NIU,0,150 percent and above the low-income level,No service,Fair,Same house,NIU,Same house
2012,68486,1804.38,West South Central Division,Texas,0,With cash rent,"Yes, phone in household",March,3,2118.6001,1 family member present,0 children present,No children under age 5,NIU,23,Male,White,Never married/single,Some college but no degree,At work,"Yes, in the labor force",5240,8680,52 weeks,25 hours,10000,125-149 percent of the low-income level,No service,Very good,Texas,For cheaper housing,Moved within county
2012,29936,1052.42,East North Central Division,Wisconsin,0,Owned or being bought,"No, no phone available",March,2,1052.42,2 family members present,0 children present,No children under age 5,NIU,51,Male,Asian only,"Married, spouse present",Master's degree,At work,"Yes, in the labor force",1460,3570,52 weeks,40 hours,75000,150 percent and above the low-income level,No service,Very good,Same house,NIU,Same house
